"Código","Nombre oficial","Autor"
"51.04.02","Cleistogeno-Dichanthietum ischaemi","Carreras & X. Font in Carreras, Carrillo, X. Font, Ninot & Vigo 1983"
"51.04.03","Diantho geminiflori-Phleetum phleoidis","X. Font 1993"
"51.04.04","Festuco andres-molinae-Saturejetum montanae","G. Montserrat 2000"
"51.04.05","Jurineo humilis-Stipetum eriocaulis","Romo 1989"
"51.04.06","Koelerio gracilis-Avenuletum ibericae","Br.-Bl. in Br.-Bl. & Moor 1938 corr. O. Bolòs in Carreras, Carrillo, X. Font, Ninot & Vigo 1983"
"51.04.07","Polygalo gerundensis-Ononidetum spinosae","O. Bolòs 1983"
"51.04.08","Teucrio montani-Avenuletum mirandanae","Carrillo & Ninot in Carreras, Carrillo, X. Font, Ninot & Vigo 1983"
"52","Festuco hystricis-Ononidetea striatae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi, & Penas 2002"
"52.01","Genistion lobelii","Molinier 1934"
"52.01.01","Dipcadio serotini-Allietum molyos","Romo 1989"
"52.01.02","Erinaceo-Anthyllidetum montanae","Br.-Bl. & O. Bolòs 1950"
"52.01.03","Erodietum rupestris","O. Bolòs 1956"
"52.01.04","Erodio glandulosi-Arenarietum capitatae","Vives 1964"
"52.01.05","Narcisso assoani-Erodietum rupestris","Romo 1989"
"52.01.06","Plantagini argenteae-Globularietum cordifoliae","J.M. Montserrat 1987"
"52.02","Ononidion striatae","Br.-Bl. & Susplugas 1937"
"52.02.01","Conopodio ramosi-Festucetum scopariae","Br.-Bl. & O. Bolòs in O. Bolòs 1967"
"52.02.02","Conopodio-Seslerietum elegantissimae","O. Bolòs 1967"
"52.02.03","Ononido-Anthyllidetum montanae","Vives 1964"
"52.03","Festucion scopariae","Br.-Bl. 1948"
"52.03.01","Luzulo montsignaticae-Festucetum gautieri","O. Bolòs 1983"
"52.03.02","Oxytropido amethysteae-Caricetum humilis","Carrillo & I. Soriano in Carrillo & Vigo 1997"
"52.03.03","Oxytropido pyrenaicae-Festucetum scopariae","Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"52.03.04","Plantagini mediae-Seslerietum caeruleae","Vigo (1979) 1982"
"52.03.05","Seslerio caeruleae-Festucetum scopariae","Br.-Bl. 1948"
"52.03.06","Astragalo teresiani-Thymelaeetum nivalis","Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi in Loidi & Biurrun 1998"
"52.03.07","Helianthemo cani-Potentilletum cinereae","Romo 1989"
"52.03.08","Onosmo bubani-Caricetum humilis","Carreras, Carrillo, Ninot, I. Soriano & Vigo in Ninot 1996"
"52.03.09","Saponario caespitosae-Festucetum gautieri","Gruber ex Ninot 1988"
"52.03.10","Serratulo nudicaulis-Asperuletum pyrenaicae","P. Montserrat & Villar 1987"
"52.03.11","Seslerio caeruleae-Scabiosetum graminifoliae","Masalles & Vigo in Farrás, Masalles, E. Velasco & Vigo 1981"
"52.03.12","Teucrio pyrenaici-Astragaletum catalaunici","Carrillo & Ninot 1990"
"52.04","Festucion spadiceae","Nègre 1969"
"52.04.01","Cotoneastro masclansii-Festucetum spadiceae","Romo 1989"
"52.04.02","Irido xiphioidis-Festucetum spadiceae","Nègre 1968"
"52.04.03","Lathyro longestipulati-Seslerietum albicantis","Romo 1989"
"52.04.04","Scorzonero-Festucetum spadiceae","Nègre, Dendaletche & Villar 1975 corr. Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"52.04.05","Teucrio pyrenaici-Festucetum spadiceae","Carreras & Vigo 1988"
"52.05","Genistion occidentalis","Rivas-Martínez in Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"52.05.01","Arctostaphylo crassifoliae-Genistetum occidentalis","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"52.05.02","Aveno cantabricae-Seslerietum hispanicae","Br.-Bl. 1967"
"52.05.03","Carici ornithopodae-Teucrietum pyrenaici","Loidi 1983"
"52.05.04","Helictotricho cantabrici-Genistetum occidentalis","Herrera 1997"
"52.05.05","Lithodoro diffusae-Genistetum legionensis","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"52.05.06","Lithodoro diffusae-Genistetum occidentalis","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"52.05.07","Lithodoro diffusae-Genistetum scorpii","Ladero, T.E. Díaz, Penas, Rivas-Martínez, C. Valle 1987"
"52.05.08","Teucrio pyrenaici-Genistetum occidentalis","Vanden Berghen 1969"
"52.05.09","Ulici europaei-Genistetum occidentalis","T.E. Díaz & F. Prieto 1994"
"52.06","Echinospartion horridi","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1991"
"52.06.01","Carici brevicollis-Echinospartetum horridi","J.M. Montserrat 1986"
"52.06.02","Erinaceo anthyllidis-Scabiosetum graminifoliae","G. Montserrat 1987"
"52.06.03","Junipero hemisphaericae-Echinospartetum horridi","O. Bolòs & P. Montserrat ex Rivas Goday & Rivas-Martínez 1969"
"52.07","Sideritido fontquerianae-Arenarion aggregatae","Rivas Goday & Borja 1961"
"52.07.01","Achilleo odoratae-Astragaletum tremolsiani","Gómez-Mercado, F. Valle & Mota 1995"
"52.07.02","Androsaco villosae-Festucetum hystricis","G. Navarro 1989"
"52.07.03","Astragalo austriaci-Ononidetum cenisiae","Rivas Goday & Borja 1961"
"52.07.04","Coronillo minimae-Astragaletum nummularioidis","Pérez-Raya & Molero 1990"
"52.07.05","Drabo aizoidis-Ononidetum striatae","G. Navarro & J.A. Molina 2001"
"52.07.06","Erodio celtiberici-Erinaceetum anthyllidis","Rivas Goday & Borja ex O. Bolòs & Vigo in O. Bolòs 1967"
"52.07.07","Erodio daucoidis-Saxifragetum erioblastae","Pérez-Raya & J.M. Losa in J.M. Losa & Pérez-Raya 1986"
"52.07.08","Festucetum hystricis","Font Quer 1954"
"52.07.09","Helianthemo nummularium-Genistetum pseudopilosae","Rivas Goday & Rivas-Martínez 1969"
"52.07.10","Paronychio capitatae-Artemisietum lanatae","Rivas Goday & Borja 1961"
"52.07.11","Pulsatillo vulgaris-Ononidetum cenisiae","Mayor 1968"
"52.07.12","Senecioni boissieri-Festucetum hystricis","Gómez-Mercado, F. Valle & Mota 1995"
"52.07.13","Seseli granatensis-Festucetum hystricis","Martínez-Parras, Peinado & Alcaraz 1987"
"52.07.14","Sideritido fontquerianae-Arenarietum erinaceae","Rivas Goday & Borja 1961"
"52.08","Festucion burnatii","Rivas Goday & Rivas-Martínez ex Mayor, Andrés, Martínez, F. Navarro & T.E. Díaz 1973"
"52.08.01","Arenario cantabricae-Festucetum hystricis","Martínez, Mayor, F. Navarro & T.E. Díaz 1974 corr. Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"52.08.02","Festucetum burnatii","Mayor, Andrés, Martínez, F. Navarro & T.E. Díaz 1973"
"52.08.03","Koelerio vallesianae-Erodietum glandulosi","Amigo, G. Azcárate & Izco 1993"
"52.08.04","Saxifrago coniferae-Festucetum burnatii","F. Prieto 1983"
"52.09","Plantagini discoloris-Thymion mastigophori","A. Molina & Izco 1989"
"52.09.01","Festuco hystricis-Genistetum eliassennenii","García-Mijangos, Loidi & Herrera 1994"
"52.09.02","Festuco hystricis-Thymetum mastigophori","Mayor, Andrés, Martínez, F. Navarro & T.E. Díaz 1973"
"52.09.03","Koelerio vallesianae-Thymetum mastigophori","García-Mijangos, Loidi & Herrera 1994"
"52.09.04","Ononido pusillae-Thymetum zygidis","G. Azcárate in Amigo, G. Azcárate & Izco 1993"
"52.09.05","Plantagini discoloris-Thymetum mastigophori","(Izco, A. Molina & Fernández-González 1983) A. Molina & Izco 1989"
"52.09.06","Veronico javalambrensis-Thymetum mastigophori","Izco, A. Molina & Fernández- González 1983 em. A. Molina & Izco 1989"
"53","Koelerio-Corynephoretea","Klika in Klika & Novák 1941"
"53.01","Corynephorion canescentis","Klika 1931"
"53.01.01","Corynephoretum canescentis","Br.-Bl. 1915"
"53.02","Koelerion albescentis","Tüxen 1937"
"53.02.01","Desmazerio marinae-Phleetum arenarii","Herrera 1995"
"53.02.02","Linario polygalifoliae-Corynephoretum canescentis","J. Rodríguez, Ortiz & Pulgar 1988"
"54","Poetea bulbosae","Rivas Goday & Rivas-Martínez in Rivas-Martínez 1978"
"54.01","Trifolio subterranei-Periballion","Rivas Goday 1964"
"54.01.01","Festuco amplae-Poetum bulbosae","Rivas-Martínez & Fernández-González in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"54.01.02","Poo bulbosae-Onobrychidetum eriophorae","Rivas Goday, Ladero & C. Rivas in Rivas Goday & Ladero 1970"
"54.01.03","Poo bulbosae-Trifolietum subterranei","Rivas Goday 1964"
"54.02","Plantaginion serrariae","Galán, Morales & Vicente 2000"
"54.02.01","Trifolio subterranei-Plantaginetum serrariae","Martín & Galán in Galán, Morales & Vicente 2000"
"54.03","Poo bulbosae-Astragalion sesamei","Rivas Goday & Ladero 1970"
"54.03.01","Poo bulbosae-Astragaletum sesamei","Rivas Goday & Ladero 1970"
"54.03.02","Trifolio ornithopodioidis-Poetum bulbosae","Ladero, C. Valle, Amor, M.T. Santos & Gutiérrez 1997"
"55","Sedo-Scleranthetea","Br.-Bl. 1955"
"55.01","Sedion anglici","Br.-Bl. & Tüxen 1952"
"55.01.01","Euphorbio hirtae-Centaureetum corcubionensis","Ortiz, J. Rodríguez & Louzan 2000"
"55.01.02","Sedo anglici-Thymetum caespititii","J. Rodríguez, Ortiz & Pulgar 1996"
"55.01.03","Sedo pruinati-Thymetum caespititii","Ortiz, Pulgar & J. Rodríguez 1999"
"55.01.04","Spergulario rupicolae-Sedetum anglici","Arbesú, Bueno & F. Prieto 2002"
"55.02","Sedion pyrenaici","Tüxen ex Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas in T.E. Díaz & F. Prieto 1994"
"55.02.01","Agrostio durieui-Sedetum pyrenaici","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"55.02.02","Sedetum brevifolio-pyrenaici","Rivas-Martínez & Sánchez-Mata in Sánchez-Mata 1989"
"55.02.03","Sedetum micrantho-pyrenaici","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"55.02.04","Sedo brevifolii-Sperguletum rimarum","Puente, López Pacheco, Llamas & Penas 1995"
"55.02.05","Sedo pyrenaici-Sempervivetum montani","Tüxen in Tüxen & Oberdorfer 1958"
"55.02.06","Sempervivo tectorum-Sedetum rupestris","O. Bolòs 1983"
"55.02.07","Sileno rupestris-Sedetum pyrenaici","Tüxen in Tüxen & Oberdorfer 1958"
"55.02.08","Trifolio-Thymetum caroli","X. Font & Vigo 1984"
"55.02.09","Veronicetum cantabricae","Turmel 1955"
"55.03","Alysso-Sedion albi","Oberdorfer & Müller in Müller 1961"
"55.03.01","Alysso alyssoidis-Sedetum albi","Oberdorfer & Müller in Müller 1961"
"55.04","Sedion micrantho-sediformis","Rivas-Martínez, P. Sánchez & Alcaraz ex P. Sánchez & Alcaraz 1993"
"55.04.01","Sedetum micrantho-sediformis","O. Bolòs & Masalles in O. Bolòs 1981"
"55.04.02","Sedo micranthi-Erodietum saxatilis","Costa & Pérez-Badia in Pérez-Badia 1997"
"55.04.03","Sileno secundiflorae-Tunicetum saxifragae","O. Bolòs 1957"
"56","Lygeo-Stipetea","Rivas-Martínez 1978"
"56.01","Thero-Brachypodion ramosi","Br.-Bl. 1925"
"56.01.01","Allietum chamaemoly","Molinier 1954"
"56.01.02","Festuco hystricis-Avenetum filifoliae","O. Bolòs 1967"
"56.01.03","Hypochoerido achyrophorae-Brachypodietum ramosi","O. Bolòs & Molinier 1958"
"56.01.04","Phlomido lychnitidis-Brachypodietum ramosi","Br.-Bl. 1925"
"56.01.05","Pilosello capitatae-Brachypodietum retusi","Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991"
"56.01.06","Ruto angustifoliae-Brachypodietum ramosi","Br.-Bl. & O. Bolòs 1958"
"56.01.07","Scillo obtusifoliae-Erodietum sanguinis-christi","Br.-Bl., Font Quer, G. Br.-Bl., Frey, Jansen, & Moor 1936"
"56.01.08","Teucrio pseudochamaepityos-Brachypodietum ramosi","O. Bolòs 1957"
"56.01.09","Trifolio-Brachypodietum ramosi","A. & O. Bolòs & Br.-Bl. in O. Bolòs 1956"
"56.02","Agropyro pectinati-Lygeion sparti","Br.-Bl. & O. Bolòs 1958 corr. Rivas-Martínez, Fernández-González & Loidi 1999"
"56.02.01","Agropyro pectinati-Lygeetum sparti","Br.-Bl. & O. Bolòs 1958"
"56.02.02","Atractylido humilis-Lygeetum sparti","Br.-Bl., Font Quer, G. Br.-Bl., Frey, Jansen, & Moor 1936"
"56.02.03","Dactylido hispanicae-Lygeetum sparti","Rivas-Martínez ex Alcaraz 1984"
"56.02.04","Lygeo sparti-Stipetum parviflorae","Br.-Bl. & O. Bolòs 1954"
"56.03","Stipion tenacissimae","Rivas-Martínez 1978"
"56.03.01","Arrhenathero erianthi-Stipetum tenacissimae","Rivas-Martínez ex Izco 1969"
"56.03.02","Fumano thymifoliae-Stipetum tenacissimae","Br.-Bl. & O. Bolòs 1958"
"56.03.03","Helianthemo squamati-Stipetum tenacissimae","Pérez-Raya ex A. García in Cano, F. Valle, A. García, Salazar, Sanz, Torres & Jalut 1995"
"56.03.04","Helictotricho filifolii-Stipetum tenacissimae","Costa, Peris & Stübing 1989"
"56.03.05","Heteropogono contorti-Stipetum tenacissimae","M.B. Crespo in De la Torre, M.B. Crespo & Solanas 1997"
"56.03.06","Lapiedro martinezii-Stipetum tenacissimae","Rivas-Martínez & Alcaraz in Alcaraz 1984"
"56.03.07","Sedo dianii-Stipetum tenacissimae","De la Torre, M.B. Crespo & Solanas 1997"
"56.03.08","Stipo offneri-Helictotrichetum filifolii","G. López 1976"
"56.03.09","Thymo gracilis-Stipetum tenacissimae","Pérez-Raya & Molero 1988"
"56.04","Festucion scariosae","Martínez-Parras, Peinado & Alcaraz 1984"
"56.04.01","Avenulo pauneroi-Helictotrichetum cazorlensis","Gómez-Mercado & F.Valle 1991"
"56.04.02","Dactylido hispanicae-Festucetum scariosae","Martínez-Parras, Peinado & Alcaraz 1987"
"56.04.03","Daphno hispanicae-Festucetum capillifoliae","O. Bolòs & Rigual in O. Bolòs 1967"
"56.04.04","Festuco scariosae-Helictotrichetum arundani","Asensi, Díez-Garretas & Martín 1993"
"56.04.05","Helictotricho filifolii-Festucetum scariosae","Martínez-Parras, Peinado & Alcaraz 1984"
"56.05","Stipion parviflorae","De la Torre, Alcaraz & Vicedo 1996"
"56.05.01","Brachypodio-Stipetum ibericae","O. Bolòs 1954 corr. 1996"
"56.05.02","Dactylido hispanicae-Stipetum celakovskyii","Penas, M.E. García, De Paz, L. Herrero, R. Alonso & F. Salegui 2002"
"56.05.03","Plantagini albicantis-Stipetum parviflorae","De la Torre, Alcaraz & Vicedo 1996"
"56.05.04","Salvio verbenacae-Plantaginetum albicantis","O. Bolòs 1983"
"56.05.05","Stipetum cazorlensis","(Torres & Cano in Torres, A. García, Salazar & Cano 2001) Rivas-Martínez 2002"
"56.05.06","Teucrio gnaphalodis-Astragaletum macrorrhizi","A. Velasco 1983"
"56.06","Triseto velutini-Brachypodion boissieri","Rivas-Martínez, Loero & Pérez-Raya 2002"
"56.06.01","Brachypodio boissieri-Trisetetum velutini","Martínez-Parras, Peinado & Alcaraz 1987"
"56.06.02","Helictotricho sarracenorum-Brachypodietum boissieri","Pérez-Raya & Molero 1988"
"56.07","Hyparrhenion hirtae","Br.-Bl., P. Silva & Rozeira 1956"
"56.07.01","Andropogonetum hirto-pubescentis","A. & O. Bolòs & Br.-Bl. in A. & O. Bolòs 1950"
"56.07.02","Andryalo laxiflorae-Hyparrhenietum hirtae","Peinado, Martínez-Parras & Alcaraz ex Díez Garretas & Asensi 2002"
"56.07.03","Aristido coerulescentis-Hyparrhenietum pubescentis","Rivas-Martínez & Alcaraz in Alcaraz 1984"
"56.07.04","Carici depressae-Hyparrhenietum hirtae","Br.-Bl., P. Silva & Rozeira 1956"
"56.07.05","Cenchro ciliaris-Hyparrhenietum sinaicae","Wildpret & O. Rodríguez in Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993 corr. Díez-Garretas & Asensi 1999"
"56.07.06","Dactylido hylodis-Hyparrhenietum sinaicae","Capelo, J.C. Costa, Lousã, Fontinha, Jardim, Sequeira & Rivas-Martínez 2000"
"56.07.07","Dauco criniti-Hyparrhenietum sinaicae","Rivas-Martínez in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986 corr. Díez-Garretas & Asensi 1999"
"56.07.08","Heteropogono contorti-Hyparrhenietum sinaicae","M.B. Crepo 2002"
"56.07.09","Lotononido lupinifoliae-Hyparrhenietum sinaicae","Díez-Garretas & Asensi 1999"
"57","Stipo giganteae-Agrostietea castellanae","Rivas-Martínez, Fernández-González & Loidi 1999"
"57.01","Agrostion castellanae","Rivas Goday 1958 corr. Rivas Goday & Rivas-Martínez 1963"
"57.01.01","Asphodelo aestivi-Armerietum gaditanae","Allier & Bresset 1977"
"57.01.02","Euphrasio willkommii-Festucetum amplae","Martínez-Parras, Peinado & Alcaraz 1987"
"57.01.03","Festuco amplae-Agrostietum castellanae","Rivas-Martínez & Belmonte 1986"
"57.01.04","Galio maritimi-Agrostietum castellanae","Roselló 1994"
"57.01.05","Gaudinio fragilis-Agrostietum castellanae","Rivas-Martínez & Belmonte 1986"
"57.01.06","Lino biennis-Gaudinietum fragilis","Franquesa 1995"
"57.01.07","Sedo elegantis-Agrostietum castellanae","Tüxen & Oberdorfer 1958"
"57.02","Festucion elegantis","Rivas-Martínez & Sánchez-Mata in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"57.02.01","Avenulo occidentalis-Festucetum elegantis","Cano, N. Sánchez & F. Valle 1996"
"57.02.02","Deschampsio strictae-Agrostietum curtisii","Galán, Deil, Haug & Vicente 1997"
"57.02.03","Leucanthemopsio pallidae-Festucetum elegantis","Rivas-Martínez & Sánchez-Mata in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"57.02.04","Phalacrocarpo oppositifolii-Festucetum elegantis","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas in E. Puente 1988"
"57.02.05","Paeonio coriaceae-Festucetum elegantis","Martínez-Parras, Peinado & Alcaraz 1987"
"57.03","Agrostio castellanae-Stipion giganteae","Rivas Goday ex Rivas-Martínez & Fernández-González 1991"
"57.03.01","Arrhenathero baetici-Stipetum giganteae","Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"57.03.02","Centaureo ornatae-Stipetum lagascae","Rivas-Martínez & Fernández-González 1991"
"57.03.03","Melico magnolii-Stipetum giganteae","Rivas-Martínez ex Peinado & Martínez-Parras 1985"
"57.04","Deschampsio maderensis-Parafestucion albidae","Capelo, J.C. Costa, Lousã, Fontinha, Jardim, Sequeira & Rivas-Martínez 2000"
"57.04.01","Armerio maderensis-Parafestucetum albidae","Capelo, J.C. Costa, Lousã, Fontinha, Jardim, Sequeira & Rivas-Martínez 2000"
"58","Violetea calaminariae","Br.-Bl. & Tüxen ex Ernst 1965 (*)"
"59","Molinio-Arrhenatheretea","Tüxen 1937"
"59.01","Molinion caeruleae","Koch 1926"
"59.01.01","Carici pallescentis-Molinietum","Vigo ex Carreras & Vigo 1987"
"59.01.02","Deschampsio refractae-Molinietum caeruleae","(Rivas Goday & Borja 1961) Rivas-Martínez 2002"
"59.01.03","Epipactido palustris-Molinietum caeruleae","J.M. Montserrat, I. Soriano & Vigo in Carreras & Vigo 1987"
"59.02","Calthion palustris","Tüxen 1937"
"59.02.01","Bromo commutati-Polygonetum bistortae","Rivas-Martínez ex Mayor in Mayor, T.E. Díaz, F. Navarro, Martínez & Andrés 1975"
"59.02.02","Cirsietum rivularis","Nowinski 1928"
"59.02.03","Dactylorrhizo majalis-Caricetum paniculatae","Carreras & Vigo 1984"
"59.02.04","Lepidio reverchonii-Achillaetum pyrenaicae","Rivas Goday & Borja 1961"
"59.02.05","Loto pedunculati-Juncetum conglomerati","Herrera & F. Prieto in T.E. Díaz & F. Prieto 1994"
"59.03","Juncion acutiflori","Br.-Bl. in Br.-Bl. & Tüxen 1952"
"59.03.01","Centaureo radiatae-Molinietum caeruleae","Tüxen & Oberdorfer 1958"
"59.03.02","Cirsio micranthi-Juncetum effusi","Salazar, Cano & F. Valle in Salazar, A. García, Torres, Melendo, F. Valle & Cano 1999"
"59.03.03","Cirsio palustris-Juncetum rugosi","Neto, Capelo, J.C. Costa & Lousã 1996"
"59.03.04","Deschampsio hispanicae-Juncetum effusi","Rivas-Martínez ex R. García in Llamas 1984"
"59.03.05","Epilobio palustris-Juncetum effusi","Oberdorfer 1957"
"59.03.06","Hyperico undulati-Juncetum acutiflori","Teles 1970"
"59.03.07","Juncetum acutifloro-valvati","Espírito-Santo & Capelo 1998"
"59.03.08","Juncetum rugoso-effusi","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"59.03.09","Juncetum sylvatici","Br.-Bl. 1915"
"59.03.10","Junco acutiflori-Caricetum punctatae","O. Bolòs 1959"
"59.03.11","Junco effussi-Caricetum camposii","Lorite, Cano & F. Valle 2001"
"59.03.12","Lobelio urentis-Lotetum pedunculati","Rivas Goday 1964"
"59.03.13","Peucedano lancifolii-Juncetum acutiflori","Teles 1970"
"59.03.14","Senecioni aquatici-Juncetum acutiflori","Br.-Bl. & Tüxen 1952"
"59.03.15","Senecioni coincyi-Trollietum europaei","F.J. Fernández, J.A. Sánchez & Amich 1988"
"59.03.16","Succiso pratensis-Centaureetum rivularis","Rivas Goday, Mayor, Ladero & Izco 1966"
"59.04","Arrhenatherion","Koch 1926"
"59.04.01","Agrostio castellanae-Arrhenatheretum bulbosi","Teles 1970"
"59.04.02","Arrhenatheretum elatioris","Br.-Bl. 1915"
"59.04.03","Galio veri-Arrhenatheretum bulbosi","(Rivas Goday & Borja 1961) Rivas.Martínez 2002"
"59.04.04","Malvo moschatae-Arrhenatheretum bulbosi","Tüxen & Oberdorfer 1958 corr. T.E. Díaz & F. Prieto 1994"
"59.04.05","Odontito serotini-Trifolietum pratensis","O. Bolòs & Masalles 1983"
"59.04.06","Ophioglosso-Arrhenatheretum","P. Montserrat 1957"
"59.04.07","Rhinantho mediterranei-Trisetetum flavescentis","Vigo 1984"
"59.04.08","Tragopogono-Lolietum multiflori","P. Montserrat 1957"
